Discharge,Feelings and Urge,Pain and Infection,Physical Conditions,Critical Feelings,Critical,Disease
"Yellow,green discharge",Fever,Anal Itching and Pain,NIL,Slow heart rate and pulse,Critical,cancer
Painful Urination,Fever,Anal Itching and Pain,NIL,Cough and breathing difficulties,Critical,cancer
Difficulties in stooling,Fever,Muscle Aches,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Tired,Frequent Infection,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Swollen genitals,Excessive Urination and Thirst,NIL,Critical,Diabetes
Frequent Urination,Fever,Swollen genitals,Rashes,Confusion,Critical,Diabetes
Painful Urination,Urge to urinate,Anal Itching and Pain,Rose spots,NIL,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Frequent Infection,Swollen testicles,NIL,Critical,cancer
Painful Urination,Hunger,Frequent Infection,NIL,Confusion,Critical,cancer
Difficulties in stooling,Tired,Anal Itching and Pain,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Urge to urinate,Muscle Aches,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Muscle Aches,Rose spots,NIL,Critical,cancer
"Yellow,green discharge",Hunger,Blurred Vision,NIL,Confusion,Critical,cancer
Frequent Urination,Urge to urinate,Frequent Infection,Swollen testicles,NIL,Critical,Diabetes
Painful Urination,Tired,Anal Itching and Pain,Rashes,Slow heart rate and pulse,Critical,cancer
"Yellow,green discharge",Hunger,Anal Itching and Pain,NIL,NIL,Not Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Muscle Aches,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Frequent Urination,Fever,Frequent Infection,NIL,NIL,Not Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Swollen genitals,Rashes,Seizures,Critical,cancer
"Yellow,green discharge",Hunger,Frequent Infection,Rose spots,NIL,Critical,cancer
Painful Urination,Hunger,Frequent Infection,Bloody diarrhea,NIL,Critical,cancer
Painful Urination,Fever,Blurred Vision,NIL,Seizures,Critical,cancer
"Yellow,green discharge",Tired,Headache,Swollen testicles,Disorientation,Critical,cancer
Difficulties in stooling,Tired,Headache,Rose spots,NIL,Critical,cancer
Painful Urination,Fever,Anal Itching and Pain,Rashes,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Urge to urinate,Blurred Vision,Swollen testicles,Disorientation,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Blurred Vision,Rashes,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Tired,Swollen genitals,Rose spots,Severe pelvic pain,Critical,Diabetes
Painful Urination,Hunger,Abdominal Pain,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Frequent Infection,Rashes,NIL,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Blurred Vision,NIL,NIL,Not Critical,cancer
Painful Urination,Fever,Abdominal Pain,NIL,Cough and breathing difficulties,Critical,cancer
Difficulties in stooling,Urge to urinate,Abdominal Pain,Excessive Urination and Thirst,NIL,Critical,Diabetes
"Yellow,green discharge",Hunger,Frequent Infection,Excessive Urination and Thirst,NIL,Critical,Diabetes
Painful Urination,Tired,Anal Itching and Pain,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Blurred Vision,NIL,Confusion,Critical,Diabetes
Frequent Urination,Fever,Headache,NIL,Confusion,Critical,Diabetes
"Yellow,green discharge",Hunger,Muscle Aches,NIL,Seizures,Critical,cancer
Painful Urination,Fever,Headache,Rashes,NIL,Critical,cancer
"Yellow,green discharge",Hunger,Anal Itching and Pain,Rose spots,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Fever,Blurred Vision,NIL,Confusion,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Muscle Aches,Rashes,Seizures,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Muscle Aches,NIL,Severe pelvic pain,Critical,Diabetes
Difficulties in stooling,Fever,Anal Itching and Pain,NIL,NIL,Not Critical,cardiovascular_disease
Painful Urination,Hunger,Muscle Aches,Rashes,NIL,Critical,cancer
Difficulties in stooling,Urge to urinate,Swollen genitals,NIL,NIL,Not Critical,Diabetes
Painful Urination,Hunger,Frequent Infection,NIL,Disorientation,Critical,cancer
Frequent Urination,Tired,Abdominal Pain,NIL,NIL,Not Critical,Diabetes
"Yellow,green discharge",Tired,Blurred Vision,Swollen testicles,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Tired,Muscle Aches,NIL,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Tired,Headache,Swollen testicles,NIL,Critical,cancer
Painful Urination,Fever,Muscle Aches,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Muscle Aches,Bloody diarrhea,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Headache,NIL,Slow heart rate and pulse,Critical,cancer
Painful Urination,Fever,Swollen genitals,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Abdominal Pain,NIL,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Urge to urinate,Swollen genitals,NIL,NIL,Not Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Anal Itching and Pain,Rashes,NIL,Critical,cancer
"Yellow,green discharge",Tired,Frequent Infection,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Abdominal Pain,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Blurred Vision,NIL,Disorientation,Critical,cancer
Difficulties in stooling,Hunger,Muscle Aches,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Difficulties in stooling,Tired,Muscle Aches,Bloody diarrhea,Seizures,Critical,cancer
Difficulties in stooling,Hunger,Anal Itching and Pain,Rose spots,NIL,Critical,cancer
Painful Urination,Fever,Swollen genitals,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Difficulties in stooling,Hunger,Blurred Vision,NIL,Seizures,Critical,cancer
Painful Urination,Tired,Headache,Rose spots,Cough and breathing difficulties,Critical,cancer
Difficulties in stooling,Urge to urinate,Muscle Aches,Rose spots,NIL,Critical,cardiovascular_disease
"Yellow,green discharge",Tired,Blurred Vision,Swollen testicles,Cough and breathing difficulties,Critical,cancer
Painful Urination,Fever,Anal Itching and Pain,Swollen testicles,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Hunger,Frequent Infection,Rose spots,NIL,Critical,cancer
Difficulties in stooling,Hunger,Swollen genitals,Rashes,Disorientation,Critical,cancer
Difficulties in stooling,Fever,Swollen genitals,NIL,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Tired,Swollen genitals,NIL,Slow heart rate and pulse,Critical,cancer
"Yellow,green discharge",Fever,Headache,NIL,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Fever,Swollen genitals,Rose spots,NIL,Critical,cancer
Difficulties in stooling,Urge to urinate,Frequent Infection,NIL,NIL,Not Critical,cancer
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Swollen testicles,NIL,Critical,cardiovascular_disease
Painful Urination,Tired,Frequent Infection,Swollen testicles,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Urge to urinate,Swollen genitals,Rashes,Disorientation,Critical,Diabetes
Frequent Urination,Fever,Headache,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Difficulties in stooling,Fever,Swollen genitals,NIL,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Fever,Muscle Aches,NIL,Severe pelvic pain,Critical,Diabetes
Difficulties in stooling,Tired,Anal Itching and Pain,NIL,Seizures,Critical,cancer
Difficulties in stooling,Urge to urinate,Blurred Vision,Swollen testicles,Confusion,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Headache,NIL,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Tired,Abdominal Pain,NIL,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Hunger,Anal Itching and Pain,Bloody diarrhea,NIL,Critical,cancer
Frequent Urination,Hunger,Blurred Vision,Bloody diarrhea,Confusion,Critical,Diabetes
Difficulties in stooling,Hunger,Blurred Vision,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Frequent Infection,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Painful Urination,Tired,Muscle Aches,NIL,NIL,Not Critical,cancer
"Yellow,green discharge",Tired,Anal Itching and Pain,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Urge to urinate,Frequent Infection,Excessive Urination and Thirst,NIL,Critical,Diabetes
Frequent Urination,Hunger,Headache,Bloody diarrhea,NIL,Critical,Diabetes
Frequent Urination,Urge to urinate,Anal Itching and Pain,Bloody diarrhea,NIL,Critical,Diabetes
Painful Urination,Urge to urinate,Anal Itching and Pain,NIL,NIL,Not Critical,Diabetes
Difficulties in stooling,Urge to urinate,Headache,Bloody diarrhea,NIL,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Frequent Infection,NIL,NIL,Not Critical,cancer
"Yellow,green discharge",Fever,Blurred Vision,Rashes,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Fever,Anal Itching and Pain,NIL,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Hunger,Muscle Aches,Bloody diarrhea,NIL,Critical,Diabetes
Frequent Urination,Fever,Blurred Vision,Rose spots,Seizures,Critical,Diabetes
Difficulties in stooling,Fever,Blurred Vision,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Tired,Anal Itching and Pain,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Frequent Urination,Fever,Abdominal Pain,NIL,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Tired,Frequent Infection,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Blurred Vision,Rashes,Disorientation,Critical,cancer
Difficulties in stooling,Tired,Abdominal Pain,NIL,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Hunger,Abdominal Pain,NIL,Cough and breathing difficulties,Critical,cancer
Painful Urination,Tired,Anal Itching and Pain,Swollen testicles,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Tired,Frequent Infection,Rose spots,Cough and breathing difficulties,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Abdominal Pain,NIL,Disorientation,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Blurred Vision,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Headache,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
"Yellow,green discharge",Fever,Muscle Aches,Rashes,Confusion,Critical,cancer
Difficulties in stooling,Fever,Swollen genitals,Rose spots,NIL,Critical,cancer
Painful Urination,Tired,Blurred Vision,Rashes,Disorientation,Critical,cancer
Frequent Urination,Urge to urinate,Muscle Aches,Rashes,NIL,Critical,Diabetes
Difficulties in stooling,Fever,Swollen genitals,NIL,NIL,Not Critical,cancer
Painful Urination,Hunger,Headache,Rose spots,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Fever,Muscle Aches,NIL,Disorientation,Critical,cancer
Frequent Urination,Tired,Anal Itching and Pain,NIL,Seizures,Critical,Diabetes
Difficulties in stooling,Hunger,Blurred Vision,Swollen testicles,Confusion,Critical,cancer
Frequent Urination,Urge to urinate,Muscle Aches,Swollen testicles,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Tired,Frequent Infection,Swollen testicles,Disorientation,Critical,cancer
Difficulties in stooling,Hunger,Swollen genitals,Rashes,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Urge to urinate,Abdominal Pain,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Tired,Blurred Vision,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Swollen genitals,NIL,NIL,Not Critical,cancer
Frequent Urination,Hunger,Headache,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Tired,Muscle Aches,Swollen testicles,NIL,Critical,cancer
"Yellow,green discharge",Fever,Abdominal Pain,Excessive Urination and Thirst,NIL,Critical,Diabetes
"Yellow,green discharge",Hunger,Swollen genitals,NIL,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Fever,Anal Itching and Pain,Rose spots,NIL,Critical,Diabetes
"Yellow,green discharge",Hunger,Swollen genitals,NIL,Disorientation,Critical,cancer
Painful Urination,Urge to urinate,Abdominal Pain,Rashes,NIL,Critical,cardiovascular_disease
Painful Urination,Hunger,Muscle Aches,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Hunger,Swollen genitals,NIL,Disorientation,Critical,cancer
"Yellow,green discharge",Urge to urinate,Abdominal Pain,Rose spots,Slow heart rate and pulse,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Anal Itching and Pain,Swollen testicles,Slow heart rate and pulse,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Blurred Vision,Bloody diarrhea,NIL,Critical,cancer
Difficulties in stooling,Tired,Blurred Vision,Excessive Urination and Thirst,NIL,Critical,Diabetes
Difficulties in stooling,Hunger,Anal Itching and Pain,NIL,Disorientation,Critical,cancer
Painful Urination,Hunger,Muscle Aches,NIL,NIL,Not Critical,Diabetes
Frequent Urination,Tired,Headache,NIL,NIL,Not Critical,cancer
Frequent Urination,Urge to urinate,Abdominal Pain,Swollen testicles,NIL,Critical,Diabetes
Frequent Urination,Urge to urinate,Headache,Bloody diarrhea,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Fever,Anal Itching and Pain,NIL,Disorientation,Critical,cancer
Frequent Urination,Tired,Swollen genitals,NIL,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Hunger,Blurred Vision,Rose spots,Disorientation,Critical,Diabetes
"Yellow,green discharge",Tired,Swollen genitals,NIL,NIL,Not Critical,cardiovascular_disease
Frequent Urination,Fever,Muscle Aches,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Painful Urination,Fever,Blurred Vision,Swollen testicles,Disorientation,Critical,cancer
Frequent Urination,Tired,Frequent Infection,Bloody diarrhea,Disorientation,Critical,Diabetes
Difficulties in stooling,Fever,Blurred Vision,NIL,Confusion,Critical,cancer
Painful Urination,Tired,Anal Itching and Pain,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Difficulties in stooling,Hunger,Anal Itching and Pain,NIL,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Urge to urinate,Abdominal Pain,NIL,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Headache,Rose spots,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Hunger,Anal Itching and Pain,NIL,NIL,Not Critical,cancer
Painful Urination,Urge to urinate,Blurred Vision,NIL,Disorientation,Critical,cardiovascular_disease
Frequent Urination,Tired,Anal Itching and Pain,NIL,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Urge to urinate,Anal Itching and Pain,NIL,NIL,Not Critical,Diabetes
"Yellow,green discharge",Fever,Frequent Infection,NIL,Disorientation,Critical,cancer
Painful Urination,Hunger,Headache,NIL,Disorientation,Critical,cancer
Difficulties in stooling,Fever,Anal Itching and Pain,Rose spots,Confusion,Critical,cancer
Difficulties in stooling,Urge to urinate,Blurred Vision,Bloody diarrhea,NIL,Critical,cardiovascular_disease
"Yellow,green discharge",Tired,Swollen genitals,NIL,Disorientation,Critical,cancer
Difficulties in stooling,Hunger,Muscle Aches,Swollen testicles,Disorientation,Critical,cancer
Painful Urination,Tired,Frequent Infection,Rose spots,Confusion,Critical,cancer
"Yellow,green discharge",Fever,Abdominal Pain,Rose spots,NIL,Critical,cancer
"Yellow,green discharge",Fever,Muscle Aches,NIL,NIL,Not Critical,cancer
Frequent Urination,Hunger,Headache,Swollen testicles,NIL,Critical,Diabetes
Frequent Urination,Tired,Muscle Aches,NIL,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Fever,Muscle Aches,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Swollen genitals,Swollen testicles,Disorientation,Critical,cancer
Frequent Urination,Fever,Muscle Aches,NIL,Cough and breathing difficulties,Critical,Diabetes
Painful Urination,Hunger,Frequent Infection,NIL,Cough and breathing difficulties,Critical,cancer
Difficulties in stooling,Urge to urinate,Headache,NIL,Confusion,Critical,cardiovascular_disease
Painful Urination,Fever,Muscle Aches,Rashes,Seizures,Critical,cancer
Painful Urination,Hunger,Abdominal Pain,NIL,Confusion,Critical,cancer
Painful Urination,Fever,Muscle Aches,NIL,NIL,Not Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Anal Itching and Pain,Bloody diarrhea,Seizures,Critical,cardiovascular_disease
Painful Urination,Fever,Swollen genitals,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Rose spots,NIL,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Frequent Infection,Bloody diarrhea,Confusion,Critical,Diabetes
Frequent Urination,Hunger,Blurred Vision,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
